"","Three_grams","Frequency"
"139","a big bow",35
"140","a big boy",50
"141","a big celebration",43
"142","a big conference",51
"143","a big deal",57
"144","a big fan",39
"145","a big ol",42
"146","a big one",48
"147","a big part",23
"148","a big physical",49
"149","a big plastic",32
"150","a big salad",34
"151","a big standardized",70
"152","a big supporter",30
"153","a big sword",96
"154","a big thank",34
"155","a big transition",45
"156","a big win",30
"157","a big you",27
"158","a bigger applause",56
"159","a bigger garden",18
"160","a billy donovan",45
"161","a binder but",36
"162","a bird if",29
"163","a bird im",29
"164","a bird that",16
"165","a birdthe notebook",29
"166","a birthday gift",37
"167","a bit an",36
"168","a bit baggy",28
"169","a bit bruh",41
"170","a bit cheaper",22
"171","a bit different",16
"172","a bit difficult",26
"173","a bit elderly",17
"174","a bit enthusiastic",24
"175","a bit expensive",51
"176","a bit foggy",30
"177","a bit less",49
"178","a bit like",38
"179","a bit more",20
"180","a bit much",21
"181","a bit of",310
"182","a bit older",20
"183","a bit stir",28
"184","a bit sweet",44
"185","a black cherry",31
"186","a black hole",19
"187","a black man",23
"188","a blackberry an",19
"189","a blackhawks scout",37
"190","a blackjack program",41
"191","a blank planet",38
"192","a blank stare",36
"193","a blanket and",25
"194","a blast last",36
"195","a blast sticky",18
"196","a blender so",29
"197","a blink click",39
"198","a blister problem",38
"199","a block away",59
"200","a block farther",32
"201","a blog hop",35
"202","a blog is",29
"203","a blogger poll",32
"204","a bloody national",26
"205","a bloody or",66
"206","a blow torch",29
"207","a blue cross",24
"208","a blueprint for",37
"209","a blunt come",22
"210","a blush color",19
"211","a blustery day",35
"212","a boast he",39
"213","a boeing passenger",41
"214","a boil by",47
"215","a bomb during",18
"216","a bond of",19
"217","a bonus i",40
"218","a book about",68
"219","a book but",19
"220","a book for",31
"221","a book i",65
"222","a book on",46
"223","a book so",28
"224","a book tv",38
"225","a book with",32
"226","a booking fee",24
"227","a booming solarenergy",23
"228","a boozer however",21
"229","a border collie",39
"230","a bowl game",45
"231","a bowl of",73
"232","a bowl stir",35
"233","a box grater",17
"234","a box of",41
"235","a brain youre",20
"236","a brand new",41
"237","a bread business",24
"238","a break in",39
"239","a break to",21
"240","a breakfast blt",39
"241","a breakfast spread",23
"242","a breakup this",31
"243","a breath of",38
"244","a bret easton",19
"245","a brief meeting",47
"246","a briggs riley",75
"247","a brilliant cultural",33
"248","a brilliant excerpt",25
"249","a broad boyish",21
"250","a broad range",33
"251","a broad selection",36
"252","a broadcast and",17
"253","a broader perspectivemalathy",23
"254","a broadly consumed",50
"255","a broken consumer",32
"256","a brother j",36
"257","a brother steven",26
"258","a brown bear",21
"259","a budget by",30
"260","a budgetfriendly and",30
"261","a building between",38
"262","a building on",20
"263","a building where",20
"264","a bulk email",16
"265","a bulldog eating",38
"266","a bullet that",16
"267","a bulletproof vest",34
"268","a bully as",21
"269","a bully is",21
"270","a bullyboy depiction",26
"271","a bunch but",28
"272","a bunch latour",48
"273","a bunch of",164
"274","a burger well",29
"275","a burnedout former",16
"276","a bus number",23
"277","a business consultant",31
"278","a business method",76
"279","a business they",17
"280","a busy artery",46
"281","a by al",30
"282","a cab from",22
"283","a cage that",21
"284","a calf injury",21
"285","a california school",41
"286","a camera inside",40
"287","a camera or",31
"288","a campaign official",30
"289","a cancer patient",33
"290","a candidate for",47
"291","a cannibalistic ogre",24
"292","a canon of",24
"293","a cap on",33
"294","a car dealers",21
"295","a car whose",36
"296","a carboat to",27
"297","a card chip",34
"298","a card event",39
"299","a careful balance",23
"300","a careful diet",17
"301","a caring and",26
"302","a carpet cleaning",25
"303","a carrieror both",20
"304","a carwash vacuum",44
"305","a case that",34
"306","a cash only",25
"307","a cast member",17
"308","a casting workshop",36
"309","a castle with",33
"310","a cat never",44
"311","a catch the",38
"312","a cattle car",41
"313","a cause for",34
"314","a cause i",35
"315","a cavity thulani",23
"316","a ceaseless flight",17
"317","a celebration of",50
"318","a cello quartet",22
"319","a century look",37
"320","a ceremony saturday",19
"321","a certain age",28
"322","a certain decade",34
"323","a certain style",45
"324","a cessna its",40
"325","a cfl with",55
"326","a chair his",17
"327","a challenge because",46
"328","a challenge for",76
"329","a challenging landscape",31
"330","a championship and",33
"331","a chance as",26
"332","a chance dont",64
"333","a chance they",22
"334","a chance to",168
"335","a change \u0094",33
"336","a change after",31
"337","a change nine",29
"338","a character and",56
"339","a character or",43
"340","a characteristic of",44
"341","a chartered aircraft",30
"342","a chat celia",40
"343","a check for",38
"344","a check on",26
"345","a checkingcreditdebit account",16
"346","a cheeky little",43
"347","a cheering crowd",46
"348","a chef who",22
"349","a cheque is",17
"350","a chicago neighborhood",38
"351","a chick wit",34
"352","a chicken soup",16
"353","a child at",32
"354","a child parker",45
"355","a child supportcustody",66
"356","a child trying",30
"357","a child which",34
"358","a child who",24
"359","a child will",26
"360","a child with",29
"361","a childhood admirer",49
"362","a childrens birthday",17
"363","a chinaonly internet",28
"364","a chinese tour",43
"365","a choice between",31
"366","a choice but",53
"367","a choice of",44
"368","a choice that",30
"369","a choice what",61
"370","a chorus of",27
"371","a christian author",33
"372","a christian or",21
"373","a christmas package",28
"374","a chunk of",39
"375","a church or",36
"376","a church where",61
"377","a cigarette tax",20
"378","a circuit because",26
"379","a civilised community",38
"380","a class of",25
"381","a classic bob",17
"382","a classic catch",19
"383","a classic love",24
"384","a clean bloke",32
"385","a cleaner tape",17
"386","a clear indication",44
"387","a clear inflection",30
"388","a clever way",38
"389","a client and",31
"390","a cliff but",17
"391","a climate of",27
"392","a close friend",52
"393","a close personal",17
"394","a closeout for",45
"395","a closer image",31
"396","a cloud and",16
"397","a club on",16
"398","a clue what",30
"399","a coach and",21
"400","a coach that",28
"401","a cocktail in",29
"402","a code and",34
"403","a code which",19
"404","a coffee shop",57
"405","a coffee while",49
"406","a cold hit",27
"407","a cold steel",18
"408","a collar round",23
"409","a collection of",25
"410","a college student",32
"411","a columnist at",31
"412","a combined capacity",42
"413","a combined total",52
"414","a combo of",38
"415","a comefrombehind sweepclinching",22
"416","a comfy couch",63
"417","a comic into",40
"418","a comment especially",16
"419","a comment i",36
"420","a commercial success",35
"421","a commitment eventually",38
"422","a commitment of",39
"423","a commitment to",40
"424","a common xml",39
"425","a communal rice",39
"426","a community event",47
"427","a community ought",38
"428","a community outreach",24
"429","a community service",36
"430","a community that",33
"431","a company a",22
"432","a company breeds",33
"433","a company of",22
"434","a competitive series",32
"435","a competitive team",31
"436","a complete mess",55
"437","a complete overreaction",26
"438","a completely different",24
"439","a compost pile",29
"440","a compromise between",23
"441","a computer generation",39
"442","a computer monitor",56
"443","a computers usb",39
"444","a concept but",31
"445","a concern for",59
"446","a concern of",37
"447","a concert or",37
"448","a conclusion now",38
"449","a conference call",36
"450","a confidence coach",30
"451","a conflict zone",42
"452","a confluence of",33
"453","a congresswoman this",35
"454","a consistent and",31
"455","a constitutional provision",34
"456","a consultant the",32
"457","a contemporary gospel",16
"458","a contemporary story",43
"459","a contract extension",21
"460","a contract with",44
"461","a control freak",31
"462","a controversial decision",20
"463","a convenient way",18
"464","a conversation hes",16
"465","a conversation the",16
"466","a cool person",23
"467","a cop killer",46
"468","a copy of",36
"469","a corker sharp",31
"470","a corner said",17
"471","a corrupt developer",27
"472","a corset because",38
"473","a corset for",38
"474","a cottage rental",38
"475","a counter a",59
"476","a counter their",59
"477","a countertop or",39
"478","a country practically",31
"479","a county event",42
"480","a couple cows",47
"481","a couple days",69
"482","a couple great",18
"483","a couple hours",85
"484","a couple months",26
"485","a couple of",304
"486","a couple or",28
"487","a couple other",19
"488","a couple others",42
"489","a couple that",25
"490","a court ruling",34
"491","a courtroom in",16
"492","a cover letter",18
"493","a cow bell",57
"494","a crab salad",16
"495","a crack at",17
"496","a crack in",55
"497","a crazy busy",17
"498","a crazy but",33
"499","a crazy season",64
"500","a crazy wild",33
"501","a creature cage",42
"502","a credit to",71
"503","a crew from",34
"504","a crew of",25
"505","a crib something",36
"506","a crime but",19
"507","a criminal investigation",24
"508","a crisis they",17
"509","a crisis we",35
"510","a crisp with",36
"511","a critical issue",20
"512","a crop or",26
"513","a cross between",58
"514","a cross from",53
"515","a cross islip",37
"516","a cross road",19
"517","a crucial role",38
"518","a crush on",62
"519","a crust from",17
"520","a cs blow",26
"521","a cult film",25
"522","a cup measuring",30
"523","a cupcake that",29
"524","a curiosity because",17
"525","a current slate",21
"526","a cushion of",34
"527","a cute gurl",43
"528","a cuyahoga county",17
"529","a cy youngcaliber",38
"530","a dab picture",49
"531","a daily ritual",30
"532","a dam and",48
"533","a damn hijab",35
"534","a damned good",59
"535","a damp patch",34
"536","a dark horse",23
"537","a darkness you",31
"538","a dash of",39
"539","a daughter it",55
"540","a day and",65
"541","a day at",59
"542","a day in",35
"543","a day late",17
"544","a day later",36
"545","a day of",22
"546","a day off",56
"547","a day on",26
"548","a day or",44
"549","a day that",31
"550","a day to",37
"551","a dbi bit",24
"552","a dead body",32
"553","a deadline weekend",38
"554","a deadlock at",46
"555","a deal like",27
"556","a deal tweet",51
"557","a dearborn democrat",41
"558","a death ray",64
"559","a debate on",32
"560","a decade but",42
"561","a decade earlier",26
"562","a decade later",32
"563","a decision against",27
"564","a decision of",28
"565","a decision to",19
"566","a decision will",22
"567","a deeply experimental",34
"568","a deer shot",33
"569","a defense with",39
"570","a defensive replacement",38
"571","a delayed flight",40
"572","a delicately curved",19
"573","a delicious meal",43
"574","a demand for",20
"575","a demanding art",49
"576","a demented lion",52
"577","a democrat or",29
"578","a dentist really",33
"579","a department chair",90
"580","a department store",45
"581","a deposition this",32
"582","a deputy sheriff",24
"583","a desire to",18
"584","a desk all",23
"585","a desmirail really",29
"586","a destination for",36
"587","a destination they",27
"588","a deterioration that",17
"589","a detour from",35
"590","a detriment to",39
"591","a detstyle army",27
"592","a developer and",37
"593","a developer took",34
"594","a device the",18
"595","a diary in",34
"596","a diehard bulls",33
"597","a difference by",129
"598","a difference good",37
"599","a difference in",63
"600","a difference maker",62
"601","a difference obviously",21
"602","a different consciousness",19
"603","a different cuisine",31
"604","a different kind",36
"605","a different or",43
"606","a different price",17
"607","a different source",23
"608","a difficult personality",41
"609","a difficult situation",51
"610","a digital future",30
"611","a dinosaur that",28
"612","a direction that",22
"613","a dirty trick",43
"614","a disadvantage the",19
"615","a disaster when",25
"616","a disciplinary canon",27
"617","a discovery of",42
"618","a discussion about",28
"619","a discussion between",21
"620","a discussion w",40
"621","a disease affecting",37
"622","a display and",17
"623","a display of",27
"624","a disproportionately high",42
"625","a disproportionately low",42
"626","a distant country",21
"627","a distinct entrenched",21
"628","a district welcome",23
"629","a disturbance in",54
"630","a diverse poorlyorganized",21
"631","a division thats",42
"632","a divorce as",39
"633","a dna databank",27
"634","a dodge store",45
"635","a dog which",17
"636","a dog worse",27
"637","a dollar itunes",65
"638","a dollar short",17
"639","a dollop of",39
"640","a dom man",22
"641","a dont break",26
"642","a dooleys call",20
"643","a doorbell that",17
"644","a doorway between",17
"645","a doover and",44
"646","a double a",31
"647","a double by",30
"648","a double motive",24
"649","a double on",31
"650","a double slide",29
"651","a doubt ready",35
"652","a down payment",17
"653","a downattheheels caricature",26
"654","a downside this",21
"655","a dozen conservative",44
"656","a dozen on",65
"657","a dozen or",16
"658","a dragon hicup",60
"659","a drain on",18
"660","a drawer a",20
"661","a dream last",37
"662","a dream of",57
"663","a dream that",40
"664","a dress is",40
"665","a dress on",26
"666","a drink and",64
"667","a drippy onenote",40
"668","a drop in",37
"669","a dropoff from",31
"670","a drug after",20
"671","a drug transaction",24
"672","a drummer the",18
"673","a drummer theres",18
"674","a dudes best",34
"675","a duty to",36
"676","a epic finalist",34
"677","a f fan",31
"678","a fabulous appetizer",24
"679","a face cam",60
"680","a face can",24
"681","a facebook account",17
"682","a facebook page",36
"683","a faced pace",18
"684","a fact the",38
"685","a failed border",51
"686","a failing strategy",31
"687","a fair referee",39
"688","a fairly significant",17
"689","a fairy tale",61
"690","a fake name",25
"691","a fall planting",34
"692","a fall to",40
"693","a family history",43
"694","a family member",46
"695","a family practice",64
"696","a family when",17
"697","a fan of",37
"698","a fan poll",32
"699","a fan real",52
"700","a fan should",37
"701","a fantastic dinner",23
"702","a fantastic weekend",39
"703","a far more",17
"704","a fat balding",38
"705","a father daughter",18
"706","a favor and",25
"707","a favorite genre",24
"708","a feature offered",36
"709","a feature to",19
"710","a federal drug",32
"711","a feel for",38
"712","a feeling im",50
"713","a feeling of",36
"714","a feeling that",35
"715","a feeling we",19
"716","a fellow named",41
"717","a fence around",39
"718","a few activities",32
"719","a few asian",17
"720","a few attempts",30
"721","a few cast",30
"722","a few days",92
"723","a few different",43
"724","a few doors",18
"725","a few flaws",21
"726","a few generations",39
"727","a few hours",39
"728","a few hundred",17
"729","a few important",25
"730","a few intimate",55
"731","a few late",18
"732","a few little",67
"733","a few miles",16
"734","a few minor",38
"735","a few minutes",58
"736","a few months",25
"737","a few new",93
"738","a few of",67
"739","a few other",44
"740","a few people",88
"741","a few pics",36
"742","a few questions",44
"743","a few rounds",16
"744","a few scant",34
"745","a few seasons",22
"746","a few seconds",21
"747","a few sheep",26
"748","a few statistics",36
"749","a few tablets",16
"750","a few that",28
"751","a few things",38
"752","a few times",58
"753","a few true",28
"754","a few valleys",21
"755","a few weeks",145
"756","a few years",168
"757","a fibre output",18
"758","a fictions person",22
"759","a field of",50
"760","a field that",36
"761","a fiery speech",33
"762","a fiery yearold",41
"763","a fight along",27
"764","a fight with",29
"765","a file folder",16
"766","a film based",21
"767","a film but",36
"768","a film festival",25
"769","a film that",26
"770","a final autopsy",34
"771","a finalist said",21
"772","a finance meeting",31
"773","a financialmarket backlash",31
"774","a fine example",36
"775","a fine when",28
"776","a fire and",16
"777","a fire in",62
"778","a fire to",30
"779","a fire truck",19
"780","a firehook baguette",34
"781","a firing in",31
"782","a firm complaint",32
"783","a first for",36
"784","a firstclass impression",17
"785","a fischer price",31
"786","a fish but",47
"787","a fivemile return",18
"788","a fiveyear plan",26
"789","a flaking skin",44
"790","a flasher incident",32
"791","a flat tire",18
"792","a flesh and",29
"793","a flier on",19
"794","a flip phone",26
"795","a flip videos",33
"796","a floral shirt",60
"797","a flower for",29
"798","a fluffed marshmallow",24
"799","a focus on",26
"800","a fog slowly",19
"801","a follow back",33
"802","a following so",25
"803","a fondness for",21
"804","a food kind",36
"805","a food processor",17
"806","a foot long",55
"807","a football and",38
"808","a footdeep well",28
"809","a foreclosure may",28
"810","a foreclosure on",20
"811","a foreign country",35
"812","a former congressional",51
"813","a former science",31
"814","a former secretary",17
"815","a former teammate",26
"816","a former weight",37
"817","a former west",51
"818","a formidable physical",52
"819","a forsale market",39
"820","a forward corps",39
"821","a foul ball",36
"822","a foul line",17
"823","a fourgame cold",28
"824","a fourgame trip",33
"825","a fourhit shutout",43
"826","a fourth trip",30
"827","a fouryear old",19
"828","a fraction of",16
"829","a frame and",41
"830","a frame of",47
"831","a franchise consultant",51
"832","a franchise to",22
"833","a free agent",41
"834","a free cup",18
"835","a free dance",40
"836","a free drink",20
"837","a free hard",60
"838","a free kick",53
"839","a free massage",59
"840","a free open",37
"841","a free pup",46
"842","a free ticket",24
"843","a freestanding outdoor",35
"844","a french colony",37
"845","a fresh and",18
"846","a fresh coat",24
"847","a freshtasting european",17
"848","a friday night",16
"849","a friend about",59
"850","a friend feature",18
"851","a friend had",54
"852","a friend loses",41
"853","a friend or",21
"854","a friendship as",43
"855","a frozen strawberry",48
"856","a full risk",25
"857","a full sized",35
"858","a full tank",57
"859","a full two",25
"860","a full x",25
"861","a full year",78
"862","a fullblown case",20
"863","a fullfledged teenager",26
"864","a fulltime closer",23
"865","a fulltime job",48
"866","a fulltime semester",70
"867","a fully speculative",27
"868","a fun and",87
"869","a fun excuse",43
"870","a fun homecoming",71
"871","a fun morning",62
"872","a fun project",28
"873","a fun way",49
"874","a fundraiser for",86
"875","a fundraiser on",23
"876","a fundraiser that",42
"877","a fundraising advantage",25
"878","a funnier actress",31
"879","a funny and",24
"880","a funny bunch",18
"881","a further intersections",34
"882","a further win",22
"883","a futon you",57
"884","a g o",47
"885","a game against",39
"886","a game crucial",39
"887","a game day",41
"888","a game for",20
"889","a game its",44
"890","a game just",35
"891","a game of",31
"892","a game theres",24
"893","a game winning",27
"894","a gang of",28
"895","a gap in",38
"896","a garage sale",23
"897","a garden bed",32
"898","a garden stone",27
"899","a garland i",17
"900","a gateway behavior",21
"901","a gel substance",19
"902","a general lack",23
"903","a generous amount",17
"904","a genetic component",19
"905","a genius in",24
"906","a gentleman and",39
"907","a gentlemans entertainment",30
"908","a german owned",17
"909","a german word",29
"910","a giant billboard",29
"911","a giant spinning",37
"912","a gig with",53
"913","a gigantic car",37
"914","a girl and",44
"915","a girl as",32
"916","a girl he",30
"917","a girl jb",42
"918","a girl youre",49
"919","a girls name",39
"920","a glance that",16
"921","a glass of",45
"922","a glass thrown",21
"923","a glimpse into",32
"924","a glimpse of",24
"925","a glimpse on",38
"926","a global economy",19
"927","a global superpower",17
"928","a global threat",42
"929","a glorious affair",37
"930","a go kreate",23
"931","a goal but",30
"932","a goal of",39
"933","a going theme",46
"934","a gold star",17
"935","a golden band",23
"936","a good big",57
"937","a good book",38
"938","a good choice",30
"939","a good day",99
"940","a good disposal",20
"941","a good dose",25
"942","a good excuse",31
"943","a good fire",18
"944","a good full",32
"945","a good game",26
"946","a good good",39
"947","a good group",18
"948","a good idea",106
"949","a good job",60
"950","a good krumper",17
"951","a good living",49
"952","a good mood",62
"953","a good nap",42
"954","a good night",23
"955","a good ninety",17
"956","a good obvious",36
"957","a good one",16
"958","a good pair",39
"959","a good person",82
"960","a good place",60
"961","a good reason",40
"962","a good singer",54
"963","a good spot",38
"964","a good steward",43
"965","a good team",24
"966","a good thing",83
"967","a good time",91
"968","a good trip",23
"969","a good use",21
"970","a good veggie",36
"971","a good way",87
"972","a good workout",36
"973","a goodluck today",18
"974","a gop candidate",37
"975","a gothic victorian",31
"976","a government watchdog",29
"977","a gps system",47
"978","a gradual reduction",21
"979","a graduate seminar",34
"980","a grammy award",30
"981","a grant from",59
"982","a grants workshop",41
"983","a grave robber",70
"984","a great band",33
"985","a great big",40
"986","a great circle",21
"987","a great custom",57
"988","a great day",245
"989","a great deal",62
"990","a great element",16
"991","a great entertainment",34
"992","a great feeling",82
"993","a great group",25
"994","a great guy",37
"995","a great high",26
"996","a great honor",30
"997","a great little",36
"998","a great monday",33
"999","a great nonprofit",55
"1000","a great painting",46
"1001","a great passion",42
"1002","a great picture",27
"1003","a great place",69
"1004","a great point",58
"1005","a great program",70
"1006","a great read",16
"1007","a great resource",47
"1008","a great rivalry",25
"1009","a great school",28
"1010","a great soul",45
"1011","a great story",54
"1012","a great time",480
"1013","a great tour",55
"1014","a great week",89
"1015","a great weekend",65
"1016","a great win",20
"1017","a greater extent",29
"1018","a greater israel",16
"1019","a greater role",36
"1020","a green journeybut",26
"1021","a green thumb",30
"1022","a grilled veggie",54
"1023","a grog whip",38
"1024","a ground ball",38
"1025","a group effort",30
"1026","a group of",121
"1027","a growing belly",16
"1028","a growing child",21
"1029","a growing problem",34
"1030","a growth spurt",34
"1031","a gta game",36
"1032","a guide for",36
"1033","a guilty pleasure",39
"1034","a gun and",18
"1035","a gunkylooking debris",29
"1036","a guy east",45
"1037","a guy on",37
"1038","a guy whats",32
"1039","a guy with",31
"1040","a guy you",51
"1041","a hagerstown man",38
"1042","a half after",29
"1043","a half ago",31
"1044","a half each",33
"1045","a half got",24
"1046","a half hours",33
"1047","a half marathon",16
"1048","a halfgame out",30
"1049","a hallmarklifetimemovieoftheweek kind",26
"1050","a halt at",18
"1051","a halt whenever",32
"1052","a hammer drill",42
"1053","a hammer everything",53
"1054","a hand of",26
"1055","a handful of",92
"1056","a handy gift",18
"1057","a handy lightweight",18
"1058","a happy anniversary",17
"1059","a happy little",28
"1060","a happy post",22
"1061","a haqqani network",43
"1062","a hard drive",36
"1063","a hard time",68
"1064","a hashtag with",18
"1065","a hay bale",25
"1066","a head start",38
"1067","a heads up",54
"1068","a headscratcher how",26
"1069","a healthier alternative",41
"1070","a healthy day",57
"1071","a healthy home",27
"1072","a healthy or",34
"1073","a healthy revolution",35
"1074","a healthy twoparty",16
"1075","a healthy yearold",33
"1076","a hearing on",37
"1077","a heart and",48
"1078","a heart attack",18
"1079","a heart condition",29
"1080","a heart that",37
"1081","a heckofajob promoing",57
"1082","a helicopter id",36
"1083","a helicopter which",18
"1084","a hell of",43
"1085","a hen party",47
"1086","a hero his",35
"1087","a hero to",38
"1088","a heroin addiction",32
"1089","a high degree",17
"1090","a high price",18
"1091","a high school",45
"1092","a high security",34
"1093","a high standard",34
"1094","a high value",28
"1095","a higher pitch",37
"1096","a higher power",16
"1097","a highly regarded",37
"1098","a highpressure water",46
"1099","a highpriority gop",21
"1100","a highway where",22
"1101","a hike cox",32
"1102","a hilarious podcast",40
"1103","a hilarious quest",18
"1104","a hill in",28
"1105","a history of",37
"1106","a hoboken real",35
"1107","a hockey game",23
"1108","a holding cell",32
"1109","a holding penalty",39
"1110","a hole and",28
"1111","a holiday get",37
"1112","a hollywood playground",26
"1113","a holocaust survivor",23
"1114","a home in",73
"1115","a home run",52
"1116","a homer on",31
"1117","a honda generator",32
"1118","a honeycomb unlike",19
"1119","a hook start",29
"1120","a horrible day",55
"1121","a horrid psychedelic",20
"1122","a horrific shooting",41
"1123","a horse off",19
"1124","a horse to",19
"1125","a hospital for",20
"1126","a hospital it",19
"1127","a host of",59
"1128","a hot afternoon",23
"1129","a hot dog",44
"1130","a hot topics",37
"1131","a hotel in",18
"1132","a hotel pool",31
"1133","a hotel room",30
"1134","a house member",37
"1135","a hug honey",32
"1136","a huge concrete",40
"1137","a huge disappointment",21
"1138","a huge emphasis",23
"1139","a huge number",17
"1140","a huge privilege",39
"1141","a huge problem",28
"1142","a huge sweet",31
"1143","a huge trucki",53
"1144","a human rights",30
"1145","a humanitarian than",62
"1146","a humbled peter",39
"1147","a humor joke",20
"1148","a humorous punch",47
"1149","a hungry on",21
"1150","a hurry as",40
"1151","a hurry theres",37
"1152","a hydrofoil aligned",21
"1153","a i know",32
"1154","a in re",28
"1155","a in the",27
"1156","a increase over",34
"1157","a influence you",62
"1158","a iphone am",44
"1159","a jellyfish that",24
"1160","a jerk you",30
"1161","a jew so",24
"1162","a jewelled chest",35
"1163","a job at",41
"1164","a job i",60
"1165","a job once",33
"1166","a job the",21
"1167","a job there",23
"1168","a job upon",30
"1169","a joint adjusted",27
"1170","a joint lawsuit",37
"1171","a joint what",43
"1172","a journal my",34
"1173","a journey of",41
"1174","a journey that",42
"1175","a judge around",55
"1176","a july staff",40
"1177","a june news",39
"1178","a juvenile were",27
"1179","a kabocha would",19
"1180","a karaoke birthday",36
"1181","a keg sitting",40
"1182","a key interception",19
"1183","a key is",19
"1184","a key piece",35
"1185","a key sign",30
"1186","a kid do",27
"1187","a kid from",16
"1188","a kid hahaha",63
"1189","a kids flashlight",27
"1190","a killer show",65
"1191","a killing spree",36
"1192","a kinda way",34
"1193","a kings daughter",29
"1194","a kiss ur",43
"1195","a knife and",19
"1196","a knife no",19
"1197","a knife the",19
"1198","a knob on",20
"1199","a la a",17
"1200","a laborer during",41
"1201","a lack of",104
"1202","a lacrosse without",50
"1203","a lady never",29
"1204","a lady u",60
"1205","a lady walking",22
"1206","a laidback lifestyle",21
"1207","a lake and",35
"1208","a lakewood democrat",45
"1209","a landmark ruling",23
"1210","a laptop and",19
"1211","a larceny was",17
"1212","a large bowl",64
"1213","a large house",49
"1214","a large inch",30
"1215","a large number",37
"1216","a large saving",18
"1217","a large table",36
"1218","a larger expansion",32
"1219","a last name",23
"1220","a lasting impression",30
"1221","a late night",24
"1222","a latino immigrant",23
"1223","a laughing place",21
"1224","a lavishly decorated",42
"1225","a lawsuit in",36
"1226","a lawsuit that",25
"1227","a lawyer for",27
"1228","a lawyer representing",36
"1229","a lawyer with",34
"1230","a lb dumbbell",38
"1231","a lead i",36
"1232","a lead on",35
"1233","a leader of",36
"1234","a leading facility",36
"1235","a leaf from",27
"1236","a leak detected",46
"1237","a leap beyond",17
"1238","a lecture entitled",18
"1239","a lefthanded hitter",32
"1240","a leftist government",34
"1241","a legal right",20
"1242","a legend tonight",49
"1243","a legends work",19
"1244","a legitimate question",56
"1245","a leicesterborn lad",19
"1246","a lengthy nighttime",30
"1247","a less calculable",31
"1248","a lessthanclean rolodex",28
"1249","a letdown when",32
